# source: results/leakage_corrected_confirmatory/statistics.json
checkpoint,mean_delta,median_delta,sample_SD,bootstrap_CI_lower,bootstrap_CI_upper,sign_flip_p_two_sided,positive_negative_count
best.pt,0.0021,0.0007,0.0043,-0.00084,0.00556,0.3125,4/1
last.pt,0.0032,0.0043,0.0042,-0.00016,0.00642,0.2500,3/2
