# source: manifests/runs_pigdetect.csv (E*_seed42)
ID,model,mAP50,mAP50-95,precision,recall,params_m,delta_params
E0,E0,0.9803,0.7747,0.9638,0.9313,9.9486,-
E1,E1,0.9753,0.7744,0.9644,0.9367,9.9743,+0.26%
E2,E2,0.9729,0.7714,0.9588,0.9303,13.474,+35.44%
E3,E3,0.9741,0.7755,0.9627,0.9266,9.949,+0.00%
E4,E4,0.9776,0.7757,0.9622,0.9229,13.499,+35.69%
E5,E5,0.9826,0.7806,0.9698,0.9382,9.9743,+0.26%
E6,E6,0.9783,0.7734,0.9662,0.9215,13.499,+35.69%
