# source: results/statistics/piglife_detailed_*.json
model,AP,AP50,AP75,APs(31),APm(1132),APl(3311)
E0_42,0.8816598963338573,0.9760415326913283,0.9460330605186731,0.29427276838411,0.7592690663176113,0.9216797464320315
E5_42,0.8796037350363021,0.975760737028716,0.9453971400325711,0.2714486098546478,0.7630786152872205,0.9193095202493657
E1_42,0.8710618745732446,0.9757787810748838,0.9447427862051146,0.2546310471101681,0.7517667874138969,0.9110998645794287
E3_42,0.8699911733827556,0.9745079961847352,0.9432917950265538,0.3355397642377218,0.7447261977683427,0.9122553232039112
E2_42,0.8639363979790055,0.9745168598299351,0.9402810177722686,0.31101886924908917,0.7378117602918225,0.9077707371198749
