model,architecture,checkpoint,batch,precision,imgsz,available,iterations,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,fps,throughput_img_s,peak_allocated_mib,params,gflops,input_dtype,device,error
YOLO11s baseline (last),YOLO,<PIG_PROJECT>\results\comparison\YOLO11s\weights\last.pt,1,fp32,640,True,3000,13.1655,12.4335,18.1712,2.6225,8.9679,45.0386,75.96,75.96,220.1,9428179,21.7,float32,cuda:0,
YOLO11s baseline (last),YOLO,<PIG_PROJECT>\results\comparison\YOLO11s\weights\last.pt,1,fp16,640,True,3000,15.2693,14.4277,20.4501,2.811,10.7344,43.7442,65.49,65.49,190.9,9428179,,float16,cuda:0,
YOLO11s baseline (last),YOLO,<PIG_PROJECT>\results\comparison\YOLO11s\weights\last.pt,4,fp32,640,True,3000,24.4823,24.3978,24.926,0.6506,23.5745,41.7935,40.85,163.38,287.0,9428179,21.7,float32,cuda:0,
YOLO11s baseline (last),YOLO,<PIG_PROJECT>\results\comparison\YOLO11s\weights\last.pt,4,fp16,640,True,3000,16.0808,15.3196,20.1533,2.1874,14.0698,55.9545,62.19,248.74,263.4,9428179,,float16,cuda:0,
YOLO11s+CA (best),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\best.pt,1,fp32,640,True,3000,13.9067,13.2214,18.8908,2.7649,9.4341,52.3162,71.91,71.91,220.2,9453827,21.7,float32,cuda:0,
YOLO11s+CA (best),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\best.pt,1,fp16,640,True,3000,15.7817,14.9185,21.1476,2.9267,11.1493,41.0227,63.36,63.36,227.2,9453827,,float16,cuda:0,
YOLO11s+CA (best),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\best.pt,4,fp32,640,True,3000,24.6938,24.5893,25.2099,0.9633,23.6677,51.6443,40.5,161.98,323.4,9453827,21.7,float32,cuda:0,
YOLO11s+CA (best),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\best.pt,4,fp16,640,True,3000,16.5659,15.6017,21.4598,2.4498,14.249,57.7886,60.37,241.46,299.2,9453827,,float16,cuda:0,
YOLO11s+CA (last),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\last.pt,1,fp32,640,True,3000,13.7239,13.1086,18.6081,2.6001,9.4628,41.6174,72.87,72.87,256.8,9453827,21.7,float32,cuda:0,
YOLO11s+CA (last),YOLO,<PIG_PROJECT>\results\yolo11_rep\y11_e1ca_seed42\weights\last.pt,1,fp16,640,True,3000,15.856,15.0277,21.2247,2.9588,11.3928,60.4611,63.07,63.07,227.2,9453827,,float16,cuda:0,
