dataset,seed,arm,checkpoint_rule,variant,condition,instances,hits,recall
OinkTrack_official_test_8569,113,E5,best,B_extension_strict,High,179698,104575,0.5819486026555666
OinkTrack_official_test_8569,1,E0,last,A_locked_text_manuscript,Low,26733,13664,0.5111285676878764
OinkTrack_official_test_8569,1,E0,last,A_locked_text_manuscript,Medium,55291,31769,0.5745781411079561
OinkTrack_official_test_8569,1,E0,last,A_locked_text_manuscript,High,179698,104540,0.5817538314282852
OinkTrack_official_test_8569,1,E0,last,B_extension_strict,Low,26733,13664,0.5111285676878764
OinkTrack_official_test_8569,1,E0,last,B_extension_strict,Medium,55291,31769,0.5745781411079561
OinkTrack_official_test_8569,1,E0,last,B_extension_strict,High,179698,104540,0.5817538314282852
OinkTrack_official_test_8569,21,E0,last,A_locked_text_manuscript,Low,26733,15636,0.5848950735046572
OinkTrack_official_test_8569,21,E0,last,A_locked_text_manuscript,Medium,55291,35477,0.6416414968077987
OinkTrack_official_test_8569,21,E0,last,A_locked_text_manuscript,High,179698,114627,0.6378868991307638
OinkTrack_official_test_8569,21,E0,last,B_extension_strict,Low,26733,15636,0.5848950735046572
OinkTrack_official_test_8569,21,E0,last,B_extension_strict,Medium,55291,35477,0.6416414968077987
OinkTrack_official_test_8569,21,E0,last,B_extension_strict,High,179698,114627,0.6378868991307638
OinkTrack_official_test_8569,42,E0,last,A_locked_text_manuscript,Low,26733,14427,0.5396700706991359
OinkTrack_official_test_8569,42,E0,last,A_locked_text_manuscript,Medium,55291,33941,0.6138612070680581
OinkTrack_official_test_8569,42,E0,last,A_locked_text_manuscript,High,179698,112382,0.6253937161237186
OinkTrack_official_test_8569,42,E0,last,B_extension_strict,Low,26733,14427,0.5396700706991359
OinkTrack_official_test_8569,42,E0,last,B_extension_strict,Medium,55291,33941,0.6138612070680581
OinkTrack_official_test_8569,42,E0,last,B_extension_strict,High,179698,112382,0.6253937161237186
OinkTrack_official_test_8569,101,E0,last,A_locked_text_manuscript,Low,26733,14430,0.53978229154977
OinkTrack_official_test_8569,101,E0,last,A_locked_text_manuscript,Medium,55291,33586,0.6074406322909696
